id,name,parent
352,Kerta,47.0
353,Kerta Mandala,10.0
354,Kertha Buana,59.0
355,Kesiman,24.0
356,Kesiman Kertalangu,24.0
357,Kesiman Petilan,24.0
358,Kesimpar,10.0
359,Kesiut,31.0
360,Ketewel,61.0
361,Kintamani,32.0
362,Klumpu,46.0
363,Kubu,12.0
364,Kubu,34.0
365,Kubutambahan,35.0
366,Kukuh,31.0
367,Kukuh,40.0
368,Kusamba,21.0
369,Kuta,36.0
370,Kutampi,46.0
371,Kutampi Kaler,46.0
372,Kutuh,37.0
373,Kutuh,32.0
374,Kuwum,44.0
375,Kuwum,40.0
376,Laba Sari,10.0
377,Lalang Linggah,56.0
378,Landih,12.0
379,Langgahan,32.0
380,Lebih,27.0
381,Legian,36.0
382,Lelateng,45.0
383,Lembean,32.0
384,Lembongan,46.0
385,Lemukih,53.0
386,Les,66.0
387,Liligundi,19.0
388,Lodtunduh,68.0
389,Loka Sari,59.0
390,Lokapaksa,58.0
391,Loloan Barat,45.0
392,Loloan Timur,28.0
393,Lukluk,44.0
394,Lumbung,56.0
395,Lumbung Kauh,56.0
396,Luwus,16.0
397,Macang,17.0
398,Madenan,66.0
399,Mambal,11.0
400,Mambang,57.0
401,Manduang,33.0
402,Manggis,39.0
403,Manggissari,48.0
404,Mangguh,32.0
405,Manikliyu,32.0
406,Manikyang,55.0
407,Manistutu,41.0
408,Manukaya,64.0
409,Marga,40.0
410,Mas,68.0
411,Mayong,58.0
412,Medahan,18.0
413,Medewi,48.0
414,Megati,57.0
415,Mekar Bhuwana,11.0
416,Mekarsari,16.0
417,Melaya,41.0
418,Meliling,31.0
419,Melinggih,47.0
420,Melinggih Kelod,47.0
421,Menanga,52.0
422,Mendoyo Dangin Tukad,43.0
423,Mendoyo Dauh Tukad,43.0
424,Mengani,32.0
425,Mengening,35.0
426,Mengeste,49.0
427,Mengwi,44.0
428,Mengwitani,44.0
429,Menyali,53.0
430,Muncan,54.0
431,Mundeh,56.0
432,Mundeh Kangin,56.0
433,Mundeh Kauh,56.0
